x,y,s,v,velU,velV
0,0,0,0,0,0
0,0.00625,0,-3.98761e-05,0,0
0,0.0125,0,-0.00040951,0,0
0,0.01875,0,-0.00115358,0,0
0,0.025,0,-0.00223002,0,0
0,0.03125,0,-0.0035661,0,0
0,0.0375,0,-0.00508368,0,0
0,0.04375,0,-0.00670969,0,0
0,0.05,0,-0.00837966,0,0
0,0.05625,0,-0.0100383,0,0
0,0.0625,0,-0.0116385,0,0
0,0.06875,0,-0.0131405,0,0
0,0.075,0,-0.0145105,0,0
0,0.08125,0,-0.0157198,0,0
0,0.0875,0,-0.0167437,0,0
0,0.09375,0,-0.0175609,0,0
0,0.1,0,-0.0181527,0,0
0,0.10625,0,-0.018503,0,0
0,0.1125,0,-0.0185974,0,0
0,0.11875,0,-0.018423,0,0
0,0.125,0,-0.0179683,0,0
0,0.13125,0,-0.0172229,0,0
0,0.1375,0,-0.0161773,0,0
0,0.14375,0,-0.0148226,0,0
0,0.15,0,-0.0131508,0,0
0,0.15625,0,-0.0111544,0,0
0,0.1625,0,-0.00882625,0,0
0,0.16875,0,-0.00615963,0,0
0,0.175,0,-0.00314823,0,0
0,0.18125,0,0.00021401,0,0
0,0.1875,0,0.00393288,0,0
0,0.19375,0,0.00801399,0,0
0,0.2,0,0.0124627,0,0
0,0.20625,0,0.0172843,0,0
0,0.2125,0,0.0224838,0,0
0,0.21875,0,0.0280662,0,0
0,0.225,0,0.0340364,0,0
0,0.23125,0,0.0403992,0,0
0,0.2375,0,0.0471591,0,0
0,0.24375,0,0.0543209,0,0
0,0.25,0,0.0618891,0,0
0.0125,0,0,-0.000159504,0,0
0.0125,0.00625,3.11532e-09,-0.000884087,2.55944e-06,-1.65279e-06
0.0125,0.0125,3.1993e-08,-0.00143793,6.96063e-06,-6.86611e-06
0.0125,0.01875,9.01232e-08,-0.00197267,1.13782e-05,-1.53843e-05
0.0125,0.025,1.7422e-07,-0.00255807,1.50783e-05,-2.66801e-05
0.0125,0.03125,2.78602e-07,-0.00321461,1.78354e-05,-4.01107e-05
0.0125,0.0375,3.97163e-07,-0.00393481,1.96474e-05,-5.50102e-05
0.0125,0.04375,5.24194e-07,-0.00469667,2.05999e-05,-7.07401e-05
0.0125,0.05,6.54661e-07,-0.00547157,2.08036e-05,-8.67125e-05
0.0125,0.05625,7.84239e-07,-0.00622886,2.03675e-05,-0.000102399
0.0125,0.0625,9.09255e-07,-0.00693829,1.93888e-05,-0.000117332
0.0125,0.06875,1.0266e-06,-0.00757133,1.79503e-05,-0.000131098
0.0125,0.075,1.13363e-06,-0.00810163,1.61209e-05,-0.000143335
0.0125,0.08125,1.22811e-06,-0.00850522,1.39574e-05,-0.000153724
0.0125,0.0875,1.3081e-06,-0.00876043,1.15064e-05,-0.000161985
0.0125,0.09375,1.37194e-06,-0.00884776,8.80634e-06,-0.00016787
0.0125,0.1,1.41818e-06,-0.00874959,5.88861e-06,-0.000171159
0.0125,0.10625,1.44555e-06,-0.0084501,2.77928e-06,-0.000171656
0.0125,0.1125,1.45292e-06,-0.00793492,-5.0013e-07,-0.000169187
0.0125,0.11875,1.4393e-06,-0.00719108,-3.93172e-06,-0.000163592
0.0125,0.125,1.40378e-06,-0.00620671,-7.50056e-06,-0.000154728
0.0125,0.13125,1.34554e-06,-0.00497101,-1.11941e-05,-0.000142465
0.0125,0.1375,1.26385e-06,-0.00347403,-1.50019e-05,-0.000126683
0.0125,0.14375,1.15802e-06,-0.00170661,-1.89151e-05,-0.000107271
0.0125,0.15,1.02741e-06,0.000339754,-2.29262e-05,-8.41276e-05
0.0125,0.15625,8.71439e-07,0.00267295,-2.70288e-05,-5.71561e-05
0.0125,0.1625,6.89551e-07,0.0053004,-3.12174e-05,-2.6267e-05
0.0125,0.16875,4.81221e-07,0.00822901,-3.54876e-05,8.62382e-06
0.0125,0.175,2.45956e-07,0.0114654,-3.98352e-05,4.75966e-05
0.0125,0.18125,-1.67195e-08,0.0150156,-4.4257e-05,9.07273e-05
0.0125,0.1875,-3.07256e-07,0.0188858,-4.87499e-05,0.000138089
0.0125,0.19375,-6.26093e-07,0.0230813,-5.33114e-05,0.00018975
0.0125,0.2,-9.73649e-07,0.0276077,-5.79394e-05,0.00024578
0.0125,0.20625,-1.35034e-06,0.0324701,-6.26319e-05,0.000306241
0.0125,0.2125,-1.75655e-06,0.0376735,-6.73872e-05,0.000371197
0.0125,0.21875,-2.19268e-06,0.0432228,-7.2204e-05,0.000440709
0.0125,0.225,-2.6591e-06,0.0491225,-7.70809e-05,0.000514837
0.0125,0.23125,-3.15619e-06,0.0553772,-8.20168e-05,0.000593637
0.0125,0.2375,-3.68431e-06,0.0619915,-8.70109e-05,0.000677168
0.0125,0.24375,-4.24382e-06,0.0689694,-9.20623e-05,0.000765485
0.0125,0.25,-4.83509e-06,0.0763154,-9.71703e-05,0.000858642
0.025,0,0,-0.00211558,0,0
0.025,0.00625,4.13199e-08,-0.00241123,1.37322e-05,-3.88448e-06
0.025,0.0125,1.71653e-07,-0.00254282,2.7463e-05,-1.38459e-05
0.025,0.01875,3.84608e-07,-0.00258904,3.9628e-05,-2.86298e-05
0.025,0.025,6.67003e-07,-0.00260158,4.94528e-05,-4.71434e-05
0.025,0.03125,1.00277e-06,-0.00260834,5.66602e-05,-6.83596e-05
0.025,0.0375,1.37526e-06,-0.00261919,6.12587e-05,-9.12962e-05
0.025,0.04375,1.7685e-06,-0.0026313,6.34045e-05,-0.00011502
0.025,0.05,2.16781e-06,-0.00263373,6.33186e-05,-0.000138655
0.025,0.05625,2.55998e-06,-0.00261058,6.12394e-05,-0.000161392
0.025,0.0625,2.93331e-06,-0.00254344,5.73979e-05,-0.000182487
0.025,0.06875,3.27746e-06,-0.00241283,5.2006e-05,-0.000201266
0.025,0.075,3.58338e-06,-0.00219929,4.52518e-05,-0.000217116
0.025,0.08125,3.84311e-06,-0.00188387,3.72996e-05,-0.000229487
0.025,0.0875,4.04963e-06,-0.00144859,2.82911e-05,-0.00023788
0.025,0.09375,4.19675e-06,-0.0008765,1.83477e-05,-0.000241845
0.025,0.1,4.27897e-06,-0.000151869,7.57297e-06,-0.000240979
0.025,0.10625,4.29141e-06,0.000739981,-3.9445e-06,-0.000234912
0.025,0.1125,4.22966e-06,0.00181254,-1.61293e-05,-0.000223312
0.025,0.11875,4.08979e-06,0.00307837,-2.89171e-05,-0.000205874
0.025,0.125,3.8682e-06,0.00454899,-4.2253e-05,-0.00018232
0.025,0.13125,3.56163e-06,0.00623513,-5.60898e-05,-0.000152394
0.025,0.1375,3.16708e-06,0.00814665,-7.03874e-05,-0.00011586
0.025,0.14375,2.68179e-06,0.0102928,-8.5111e-05,-7.25001e-05
0.025,0.15,2.10319e-06,0.0126821,-0.000100231,-2.21103e-05
0.025,0.15625,1.4289e-06,0.0153225,-0.000115721,3.54993e-05
0.025,0.1625,6.56676e-07,0.0182215,-0.00013156,0.000100507
0.025,0.16875,-2.15596e-07,0.0213862,-0.000147727,0.000173081
0.025,0.175,-1.18992e-06,0.0248229,-0.000164207,0.000253381
0.025,0.18125,-2.26818e-06,0.028538,-0.000180984,0.000341557
0.025,0.1875,-3.45222e-06,0.0325373,-0.000198046,0.000437754
0.025,0.19375,-4.74376e-06,0.0368264,-0.000215382,0.000542108
0.025,0.2,-6.14449e-06,0.0414104,-0.000232981,0.000654754
0.025,0.20625,-7.65602e-06,0.0462947,-0.000250835,0.000775817
0.025,0.2125,-9.27993e-06,0.0514837,-0.000268937,0.00090542
0.025,0.21875,-1.10177e-05,0.0569823,-0.000287279,0.00104368
0.025,0.225,-1.28709e-05,0.0627948,-0.000305856,0.00119072
0.025,0.23125,-1.48409e-05,0.0689256,-0.000324663,0.00134664
0.025,0.2375,-1.69292e-05,0.0753786,-0.000343695,0.00151157
0.025,0.24375,-1.91371e-05,0.082158,-0.000362948,0.00168559
0.025,0.25,-2.14661e-05,0.0892676,-0.000382418,0.00186882
0.0375,0,0,-0.00513164,0,0
0.0375,0.00625,1.00227e-07,-0.00459469,3.02511e-05,-4.99992e-06
0.0375,0.0125,3.78139e-07,-0.00398919,5.64513e-05,-1.74806e-05
0.0375,0.01875,8.05868e-07,-0.00334024,7.79733e-05,-3.55042e-05
0.0375,0.025,1.35281e-06,-0.00266813,9.45379e-05,-5.74841e-05
0.0375,0.03125,1.98759e-06,-0.00198575,0.000106141,-8.20466e-05
0.0375,0.0375,2.67957e-06,-0.00129834,0.000112968,-0.000107956
0.0375,0.04375,3.39969e-06,-0.000604596,0.000115318,-0.000134077
0.0375,0.05,4.12104e-06,0.000102068,0.000113548,-0.000159357
0.0375,0.05625,4.81904e-06,0.000831926,0.000108032,-0.00018282
0.0375,0.0625,5.47144e-06,0.00159783,9.91369e-05,-0.000203559
0.0375,0.06875,6.05825e-06,0.00241407,8.72086e-05,-0.000220737
0.0375,0.075,6.56155e-06,0.00329573,7.25627e-05,-0.000233584
0.0375,0.08125,6.96528e-06,0.00425802,5.54835e-05,-0.00024139
0.0375,0.0875,7.25509e-06,0.005316,3.62235e-05,-0.000243503
0.0375,0.09375,7.41808e-06,0.0064842,1.50049e-05,-0.000239326
0.0375,0.1,7.44265e-06,0.00777661,-7.9776e-06,-0.000228309
0.0375,0.10625,7.31836e-06,0.0092064,-3.2554e-05,-0.00020995
0.0375,0.1125,7.03573e-06,0.0107861,-5.85764e-05,-0.000183782
0.0375,0.11875,6.58615e-06,0.0125274,-8.5916e-05,-0.000149381
0.0375,0.125,5.96178e-06,0.0144413,-0.000114461,-0.000106349
0.0375,0.13125,5.15539e-06,0.0165381,-0.000144114,-5.43221e-05
0.0375,0.1375,4.16036e-06,0.0188273,-0.00017479,7.04048e-06
0.0375,0.14375,2.97052e-06,0.0213178,-0.000206415,7.80551e-05
0.0375,0.15,1.58017e-06,0.0240182,-0.000238925,0.000159018
0.0375,0.15625,-1.60443e-08,0.0269361,-0.000272264,0.000250207
0.0375,0.1625,-1.82313e-06,0.030079,-0.000306381,0.000351882
0.0375,0.16875,-3.84581e-06,0.0334536,-0.000341235,0.000464291
0.0375,0.175,-6.08857e-06,0.0370666,-0.000376787,0.000587667
0.0375,0.18125,-8.55565e-06,0.0409237,-0.000413002,0.00072223
0.0375,0.1875,-1.12511e-05,0.045031,-0.000449853,0.000868193
0.0375,0.19375,-1.41788e-05,0.0493935,-0.000487312,0.00102576
0.0375,0.2,-1.73425e-05,0.0540167,-0.000525356,0.00119511
0.0375,0.20625,-2.07458e-05,0.058905,-0.000563964,0.00137645
0.0375,0.2125,-2.4392e-05,0.0640634,-0.000603119,0.00156994
0.0375,0.21875,-2.82847e-05,0.0694959,-0.000642804,0.00177576
0.0375,0.225,-3.24271e-05,0.075207,-0.000683004,0.00199408
0.0375,0.23125,-3.68223e-05,0.0812003,-0.000723707,0.00222506
0.0375,0.2375,-4.14734e-05,0.0874799,-0.000764901,0.00246885
0.0375,0.24375,-4.63836e-05,0.0940492,-0.000806575,0.00272561
0.0375,0.25,-5.15556e-05,0.100912,-0.000848722,0.00299548
0.05,0,0,-0.00851547,0,0
0.05,0.00625,1.66318e-07,-0.00705241,4.86933e-05,-5.19978e-06
0.05,0.0125,6.08667e-07,-0.00560948,8.84715e-05,-1.81101e-05
0.05,0.01875,1.27221e-06,-0.00418422,0.000119635,-3.65232e-05
0.05,0.025,2.1041e-06,-0.00277594,0.000142538,-5.85839e-05
0.05,0.03125,3.05393e-06,-0.00138326,0.000157604,-8.26893e-05
0.05,0.0375,4.07416e-06,-2.96918e-06,0.00016532,-0.000107418
0.05,0.04375,5.12043e-06,0.00137054,0.000166207,-0.000131486
0.05,0.05,6.15174e-06,0.00274506,0.000160804,-0.000153713
0.05,0.05625,7.13048e-06,0.00413039,0.000149642,-0.00017301
0.05,0.0625,8.02227e-06,0.00553771,0.000133233,-0.000188364
