Np,Wall-time
8,138.088
x,y,s,v,velU,velV
0,0,0,0,0,0
0,0.010101,0,-0.00177349,0,0
0,0.020202,0,-0.00564525,0,0
0,0.030303,0,-0.00967189,0,0
0,0.040404,0,-0.0125499,0,0
0,0.0505051,0,-0.0135242,0,0
0,0.0606061,0,-0.0121836,0,0
0,0.0707071,0,-0.00831825,0,0
0,0.0808081,0,-0.00183341,0,0
0,0.0909091,0,0.00729824,0,0
0,0.10101,0,0.0190658,0,0
0,0.111111,0,0.0334352,0,0
0,0.121212,0,0.0503606,0,0
0,0.131313,0,0.069788,0,0
0,0.141414,0,0.0916608,0,0
0,0.151515,0,0.11592,0,0
0,0.161616,0,0.142506,0,0
0,0.171717,0,0.171358,0,0
0,0.181818,0,0.202418,0,0
0,0.191919,0,0.235623,0,0
0,0.20202,0,0.270914,0,0
0,0.212121,0,0.308228,0,0
0,0.222222,0,0.347503,0,0
0,0.232323,0,0.388672,0,0
0,0.242424,0,0.431669,0,0
0,0.252525,0,0.476424,0,0
0,0.262626,0,0.522865,0,0
0,0.272727,0,0.570916,0,0
0,0.282828,0,0.620499,0,0
0,0.292929,0,0.671531,0,0
0,0.30303,0,0.723927,0,0
0,0.313131,0,0.777596,0,0
0,0.323232,0,0.832447,0,0
0,0.333333,0,0.888382,0,0
0,0.343434,0,0.945301,0,0
0,0.353535,0,1.0031,0,0
0,0.363636,0,1.06167,0,0
0,0.373737,0,1.12091,0,0
0,0.383838,0,1.1807,0,0
0,0.393939,0,1.24093,0,0
0,0.40404,0,1.30148,0,0
0,0.414141,0,1.36224,0,0
0,0.424242,0,1.4231,0,0
0,0.434343,0,1.48393,0,0
0,0.444444,0,1.54463,0,0
0,0.454545,0,1.60509,0,0
0,0.464646,0,1.6652,0,0
0,0.474747,0,1.72487,0,0
0,0.484848,0,1.78399,0,0
0,0.494949,0,1.84248,0,0
0.010101,0,0,-0.00177349,0,0
0.010101,0.010101,9.04748e-08,-0.00209296,1.42557e-05,-1.42287e-05
0.010101,0.020202,2.87993e-07,-0.00241432,1.99455e-05,-4.03138e-05
0.010101,0.030303,4.93413e-07,-0.00258374,1.7436e-05,-6.47977e-05
0.010101,0.040404,6.40236e-07,-0.00200455,9.72805e-06,-7.83148e-05
0.010101,0.0505051,6.8994e-07,-0.000138251,-9.24908e-07,-7.48477e-05
0.010101,0.0606061,6.21551e-07,0.0034031,-1.31463e-05,-5.07221e-05
0.010101,0.0707071,4.24357e-07,0.0088738,-2.61369e-05,-3.80884e-06
0.010101,0.0808081,9.35317e-08,0.0164293,-3.94356e-05,6.70328e-05
0.010101,0.0909091,-3.72321e-07,0.0261574,-5.27757e-05,0.000162312
0.010101,0.10101,-9.72643e-07,0.038099,-6.60025e-05,0.00028214
0.010101,0.111111,-1.70571e-06,0.0522649,-7.90273e-05,0.000426375
0.010101,0.121212,-2.56915e-06,0.068645,-9.17999e-05,0.000594719
0.010101,0.131313,-3.56025e-06,0.0872158,-0.000104293,0.000786773
0.010101,0.141414,-4.67609e-06,0.107944,-0.000116494,0.00100208
0.010101,0.151515,-5.91367e-06,0.130791,-0.000128396,0.00124014
0.010101,0.161616,-7.26995e-06,0.155713,-0.000139996,0.00150043
0.010101,0.171717,-8.74186e-06,0.182665,-0.000151293,0.00178242
0.010101,0.181818,-1.03264e-05,0.211596,-0.000162286,0.00208556
0.010101,0.191919,-1.20204e-05,0.242456,-0.000172972,0.00240928
0.010101,0.20202,-1.38207e-05,0.275193,-0.000183347,0.00275301
0.010101,0.212121,-1.57243e-05,0.309752,-0.000193405,0.00311616
0.010101,0.222222,-1.77279e-05,0.346077,-0.00020314,0.00349814
0.010101,0.232323,-1.98282e-05,0.384109,-0.000212541,0.00389832
0.010101,0.242424,-2.20217e-05,0.423789,-0.000221596,0.00431605
0.010101,0.252525,-2.43049e-05,0.465052,-0.000230292,0.00475067
0.010101,0.262626,-2.6674e-05,0.507834,-0.000238616,0.00520149
0.010101,0.272727,-2.91254e-05,0.552067,-0.00024655,0.00566776
0.010101,0.282828,-3.16549e-05,0.597679,-0.000254078,0.00614875
0.010101,0.292929,-3.42583e-05,0.644596,-0.000261182,0.00664366
0.010101,0.30303,-3.69313e-05,0.692742,-0.000267843,0.00715167
0.010101,0.313131,-3.96692e-05,0.742035,-0.000274043,0.00767192
0.010101,0.323232,-4.24675e-05,0.792394,-0.000279763,0.00820353
0.010101,0.333333,-4.5321e-05,0.843731,-0.000284985,0.00874556
0.010101,0.343434,-4.82247e-05,0.895958,-0.000289692,0.00929707
0.010101,0.353535,-5.11734e-05,0.948984,-0.000293868,0.00985706
0.010101,0.363636,-5.41615e-05,1.00271,-0.000297498,0.0104245
0.010101,0.373737,-5.71834e-05,1.05705,-0.00030057,0.0109984
