Np,Wall-time
4,11.6562
x,y,s,v,velU,velV
0,0,0,0,0,0
0,0.0204082,0,-0.00535343,0,0
0,0.0408163,0,-0.00973949,0,0
0,0.0612245,0,-0.00773647,0,0
0,0.0816327,0,0.0026318,0,0
0,0.102041,0,0.0217826,0,0
0,0.122449,0,0.0495497,0,0
0,0.142857,0,0.0855623,0,0
0,0.163265,0,0.129405,0,0
0,0.183673,0,0.180678,0,0
0,0.204082,0,0.238978,0,0
0,0.22449,0,0.303956,0,0
0,0.244898,0,0.375254,0,0
0,0.265306,0,0.452491,0,0
0,0.285714,0,0.535321,0,0
0,0.306122,0,0.62332,0,0
0,0.326531,0,0.716095,0,0
0,0.346939,0,0.813147,0,0
0,0.367347,0,0.913972,0,0
0,0.387755,0,1.01802,0,0
0,0.408163,0,1.12469,0,0
0,0.428571,0,1.23331,0,0
0,0.44898,0,1.34326,0,0
0,0.469388,0,1.45391,0,0
0,0.489796,0,1.56473,0,0
0.0204082,0,0,-0.00535343,0,0
0.0204082,0.0204082,1.11483e-06,0.00101548,4.96913e-05,-4.92547e-05
0.0204082,0.0408163,2.02822e-06,0.00745373,1.21584e-05,-5.59316e-05
0.0204082,0.0612245,1.61109e-06,0.0167387,-6.31188e-05,4.92547e-05
0.0204082,0.0816327,-5.48064e-07,0.0308099,-0.000150608,0.000296399
0.0204082,0.102041,-4.53615e-06,0.0506891,-0.000239377,0.000695539
0.0204082,0.122449,-1.03186e-05,0.0767783,-0.000325406,0.00124698
0.0204082,0.142857,-1.7818e-05,0.109105,-0.000407425,0.00194646
0.0204082,0.163265,-2.69481e-05,0.14758,-0.000485283,0.00278844
0.0204082,0.183673,-3.76255e-05,0.191981,-0.000559046,0.0037668
0.0204082,0.204082,-4.97663e-05,0.242088,-0.000628972,0.00487483
0.0204082,0.22449,-6.32978e-05,0.29763,-0.000695286,0.00610636
0.0204082,0.244898,-7.81454e-05,0.358311,-0.000757831,0.00745502
0.0204082,0.265306,-9.42297e-05,0.423887,-0.000816666,0.00891417
0.0204082,0.285714,-0.000111479,0.494,-0.000871577,0.0104769
0.0204082,0.306122,-0.000129804,0.568376,-0.000922316,0.0121359
0.0204082,0.326531,-0.000149124,0.646603,-0.000968504,0.0138833
0.0204082,0.346939,-0.000169335,0.728351,-0.00100958,0.0157103
0.0204082,0.367347,-0.000190331,0.813174,-0.00104528,0.0176076
0.0204082,0.387755,-0.000212,0.90066,-0.00107509,0.0195651
0.0204082,0.408163,-0.000234213,0.990312,-0.00109841,0.0215717
0.0204082,0.428571,-0.000256833,1.08169,-0.00111514,0.0236159
0.0204082,0.44898,-0.000279729,1.17432,-0.00112551,0.0256861
0.0204082,0.469388,-0.000302772,1.26776,-0.00112996,0.0277714
0.0204082,0.489796,-0.000325849,1.36153,-0.00112911,0.0298615
0.0408163,0,0,-0.00965392,0,0
0.0408163,0.0204082,2.0104e-06,0.00735592,5.59316e-05,-1.13426e-05
0.0408163,0.0408163,2.28292e-06,0.0217662,-9.85094e-05,9.77467e-05
0.0408163,0.0612245,-2.0104e-06,0.0363937,-0.00035233,0.000406802
0.0408163,0.0816327,-1.20979e-05,0.0532241,-0.000646285,0.000957117
0.0408163,0.102041,-2.83894e-05,0.0735234,-0.000950579,0.00176671
0.0408163,0.122449,-5.0897e-05,0.0979145,-0.00125092,0.00283946
0.0408163,0.142857,-7.94473e-05,0.126853,-0.00154146,0.00417177
0.0408163,0.163265,-0.000113814,0.160369,-0.00182034,0.0057565
0.0408163,0.183673,-0.000153747,0.198379,-0.00208639,0.00758449
0.0408163,0.204082,-0.000198973,0.240883,-0.00233956,0.00964558
0.0408163,0.22449,-0.000249239,0.287625,-0.00258018,0.011929
0.0408163,0.244898,-0.000304286,0.338455,-0.00280781,0.014424
0.0408163,0.265306,-0.000363844,0.393128,-0.00302188,0.017119
0.0408163,0.285714,-0.000427629,0.451427,-0.00322175,0.0200014
0.0408163,0.306122,-0.000495344,0.513055,-0.00340635,0.0230583
0.0408163,0.326531,-0.000566663,0.577785,-0.0035744,0.0262755
0.0408163,0.346939,-0.000641238,0.645258,-0.00372439,0.0296372
0.0408163,0.367347,-0.000718679,0.715197,-0.00385479,0.0331268
0.0408163,0.387755,-0.000798576,0.787234,-0.00396406,0.0367261
0.0408163,0.408163,-0.000880478,0.861053,-0.00405077,0.0404156
0.0408163,0.428571,-0.000963914,0.936329,-0.00411443,0.0441752
0.0408163,0.44898,-0.00104841,1.01272,-0.0041555,0.0479843
0.0408163,0.469388,-0.00113353,1.0899,-0.0041754,0.0518234
0.0408163,0.489796,-0.00121884,1.16757,-0.0041765,0.0556742
0.0612245,0,0,-0.00757657,0,0
0.0612245,0.0204082,1.57779e-06,0.0162616,-4.80554e-05,6.1783e-05
0.0612245,0.0408163,-1.96145e-06,0.0358654,-0.000405986,0.000341392
0.0612245,0.0612245,-1.49931e-05,0.0538841,-0.000922489,0.00090209
0.0612245,0.0816327,-3.9614e-05,0.0723028,-0.00151051,0.00178196
0.0612245,0.102041,-7.66466e-05,0.0923483,-0.00212172,0.00299987
0.0612245,0.122449,-0.000126215,0.114935,-0.00273047,0.0045617
0.0612245,0.142857,-0.000188094,0.14054,-0.00332447,0.00646542
0.0612245,0.163265,-0.000261907,0.169366,-0.003898,0.00870362
0.0612245,0.183673,-0.000347196,0.201502,-0.00444812,0.0112663
0.0612245,0.204082,-0.000443463,0.236948,-0.00497349,0.0141414
0.0612245,0.22449,-0.000550196,0.275659,-0.00547374,0.0173159
0.0612245,0.244898,-0.000666881,0.317399,-0.00594783,0.0207757
0.0612245,0.265306,-0.000792965,0.3621,-0.00639405,0.0245058
0.0612245,0.285714,-0.000927863,0.40957,-0.00681092,0.0284898
0.0612245,0.306122,-0.00107096,0.459606,-0.00719637,0.0327106
0.0612245,0.326531,-0.00122159,0.511927,-0.00754737,0.0371488
0.0612245,0.346939,-0.00137902,0.5664,-0.00786094,0.0417837
0.0612245,0.367347,-0.00154245,0.622729,-0.00813415,0.0465929
0.0612245,0.387755,-0.00171102,0.680677,-0.00836391,0.0515519
0.0612245,0.408163,-0.00188383,0.739967,-0.00854754,0.0566351
0.0612245,0.428571,-0.0020599,0.80047,-0.00868382,0.0618152
0.0612245,0.44898,-0.00223827,0.861926,-0.00877373,0.0670647
0.0612245,0.469388,-0.00241801,0.924113,-0.00881986,0.0723571
0.0612245,0.489796,-0.00259827,0.98675,-0.00882626,0.077667
0.0816327,0,0,0.00245555,0,0
0.0816327,0.0204082,-5.11359e-07,0.0294293,-0.000285461,0.000142197
0.0816327,0.0408163,-1.16515e-05,0.0515367,-0.000938816,0.000607763
0.0816327,0.0612245,-3.88304e-05,0.0711236,-0.0017929,0.00143265
0.0816327,0.0816327,-8.48309e-05,0.0898324,-0.00274406,0.00264229
0.0816327,0.102041,-0.000150833,0.108977,-0.00373032,0.00425087
0.0816327,0.122449,-0.000237089,0.129403,-0.00471647,0.00626341
0.0816327,0.142857,-0.000343342,0.15164,-0.00568338,0.00867742
0.0816327,0.163265,-0.000469064,0.176031,-0.00662121,0.0114862
0.0816327,0.183673,-0.000613595,0.202647,-0.0075242,0.0146791
0.0816327,0.204082,-0.000776174,0.231625,-0.00838915,0.0182436
0.0816327,0.22449,-0.00095601,0.262926,-0.00921447,0.0221653
0.0816327,0.244898,-0.00115227,0.296453,-0.00999777,0.0264284
0.0816327,0.265306,-0.00136408,0.332065,-0.010736,0.0310157
0.0816327,0.285714,-0.00159048,0.369772,-0.0114265,0.0359084
0.0816327,0.306122,-0.00183047,0.409249,-0.0120653,0.0410861
0.0816327,0.326531,-0.00208294,0.450447,-0.0126475,0.0465261
0.0816327,0.346939,-0.0023467,0.493152,-0.0131685,0.0522039
0.0816327,0.367347,-0.00262043,0.537202,-0.013623,0.0580928
0.0816327,0.387755,-0.00290274,0.582412,-0.0140063,0.0641637
0.0816327,0.408163,-0.00319211,0.628617,-0.014314,0.0703858
0.0816327,0.428571,-0.00348698,0.675693,-0.014544,0.0767263
0.0816327,0.44898,-0.00378575,0.723602,-0.0146974,0.0831521
0.0816327,0.469388,-0.00408688,0.772067,-0.0147778,0.0896302
0.0816327,0.489796,-0.00438892,0.820965,-0.0147908,0.0961286
0.102041,0,0,0.0202941,0,0
0.102041,0.0204082,-4.22617e-06,0.0474458,-0.000655818,0.000217419
0.102041,0.0408163,-2.67681e-05,0.0698504,-0.00169644,0.000861644
0.102041,0.0612245,-7.34687e-05,0.0892632,-0.00295701,0.00193947
0.102041,0.0816327,-0.000147463,0.107194,-0.00432872,0.00345971
0.102041,0.102041,-0.000250151,0.124705,-0.00574284,0.0054281
0.102041,0.122449,-0.000381864,0.142555,-0.00715703,0.00784542
0.102041,0.142857,-0.000542275,0.161413,-0.00854723,0.0107078
0.102041,0.163265,-0.000730731,0.181448,-0.00989971,0.0140078
0.102041,0.183673,-0.000946345,0.202918,-0.0112055,0.0177349
0.102041,0.204082,-0.0011881,0.22592,-0.0124596,0.021876
0.102041,0.22449,-0.0014549,0.250485,-0.0136586,0.0264164
0.102041,0.244898,-0.00174559,0.276505,-0.0147983,0.0313397
0.102041,0.265306,-0.00205891,0.304004,-0.015874,0.0366274
0.102041,0.285714,-0.00239351,0.332851,-0.0168813,0.0422592
0.102041,0.306122,-0.00274794,0.36293,-0.017814,0.0482127
0.102041,0.326531,-0.00312061,0.394127,-0.0186652,0.0544634
0.102041,0.346939,-0.00350979,0.426342,-0.0194277,0.0609838
0.102041,0.367347,-0.00391358,0.459387,-0.020094,0.067744
0.102041,0.387755,-0.00432995,0.493212,-0.0206569,0.0747116
0.102041,0.408163,-0.00475672,0.52765,-0.0211101,0.0818514
0.102041,0.428571,-0.00519159,0.562748,-0.0214502,0.0891263
0.102041,0.44898,-0.00563224,0.598369,-0.0216776,0.096498
0.102041,0.469388,-0.00607639,0.634474,-0.0217963,0.103927
0.102041,0.489796,-0.00652188,0.670909,-0.021814,0.111376
0.122449,0,0,0.0450697,0,0
0.122449,0.0204082,-9.38562e-06,0.0702549,-0.00114711,0.000282475
0.122449,0.0408163,-4.68206e-05,0.091138,-0.00266087,0.00108604
0.122449,0.0612245,-0.000117992,0.109097,-0.00439097,0.0023913
0.122449,0.0816327,-0.000226044,0.125199,-0.00623269,0.00418994
0.122449,0.102041,-0.000372388,0.140406,-0.00811602,0.0064771
0.122449,0.122449,-0.00055731,0.155402,-0.00999619,0.00924765
0.122449,0.142857,-0.000780396,0.170667,-0.0118457,0.0124948
0.122449,0.163265,-0.00104081,0.18655,-0.0136483,0.0162096
0.122449,0.183673,-0.00133747,0.203089,-0.0153924,0.0203812
0.122449,0.204082,-0.00166907,0.220597,-0.0170707,0.0249964
0.122449,0.22449,-0.00203423,0.238995,-0.0186782,0.0300406
0.122449,0.244898,-0.00243145,0.258271,-0.0202087,0.035497
0.122449,0.265306,-0.00285908,0.278397,-0.0216555,0.0413472
0.122449,0.285714,-0.00331535,0.299379,-0.0230119,0.04757
0.122449,0.306122,-0.00379834,0.321054,-0.0242695,0.0541423
0.122449,0.326531,-0.00430594,0.343347,-0.0254186,0.0610382
0.122449,0.346939,-0.00483583,0.366186,-0.0264491,0.0682284
0.122449,0.367347,-0.00538549,0.389511,-0.0273507,0.0756808
0.122449,0.387755,-0.00595219,0.413193,-0.0281136,0.0833603
0.122449,0.408163,-0.00653299,0.437155,-0.0287288,0.0912283
0.122449,0.428571,-0.00712479,0.461496,-0.0291906,0.0992438
0.122449,0.44898,-0.00772444,0.486209,-0.0294986,0.107364
0.122449,0.469388,-0.00832881,0.511181,-0.0296562,0.115543
0.122449,0.489796,-0.0089349,0.536354,-0.0296716,0.123737
0.142857,0,0,0.0756592,0,0
0.142857,0.0204082,-1.57558e-05,0.097373,-0.00174186,0.000335936
0.142857,0.0408163,-7.10963e-05,0.115464,-0.00380526,0.00127412
0.142857,0.0612245,-0.000171073,0.130822,-0.00606091,0.00277383
0.142857,0.0816327,-0.00031848,0.144347,-0.00841452,0.00481078
0.142857,0.102041,-0.000514523,0.156725,-0.0108006,0.00736941
0.142857,0.122449,-0.000759319,0.168465,-0.0131747,0.0104378
0.142857,0.142857,-0.00105227,0.180148,-0.0155092,0.0140052
0.142857,0.163265,-0.00139235,0.191853,-0.0177861,0.0180608
0.142857,0.183673,-0.00177823,0.203793,-0.0199923,0.0225928
0.142857,0.204082,-0.00220836,0.216143,-0.0221191,0.0275881
0.142857,0.22449,-0.00268105,0.228927,-0.0241592,0.0330324
0.142857,0.244898,-0.00319445,0.242064,-0.0261049,0.0389093
0.142857,0.265306,-0.00374655,0.255614,-0.027947,0.0452004
0.142857,0.285714,-0.00433515,0.269525,-0.0296764,0.0518852
0.142857,0.306122,-0.00495784,0.283723,-0.0312821,0.0589402
0.142857,0.326531,-0.00561197,0.298101,-0.0327513,0.0663386
0.142857,0.346939,-0.00629462,0.312651,-0.0340703,0.0740507
0.142857,0.367347,-0.0070026,0.327296,-0.0352259,0.0820426
0.142857,0.387755,-0.00773241,0.341967,-0.0362044,0.0902771
0.142857,0.408163,-0.00848033,0.356627,-0.0369936,0.0987126
0.142857,0.428571,-0.00924236,0.371415,-0.0375854,0.107305
0.142857,0.44898,-0.0100144,0.386321,-0.0379768,0.116006
0.142857,0.469388,-0.0107924,0.401334,-0.03817,0.124765
0.142857,0.489796,-0.0115724,0.416382,-0.0381726,0.133531
0.163265,0,0,0.110913,0,0
0.163265,0.0204082,-2.30973e-05,0.128157,-0.00242123,0.000377991
0.163265,0.0408163,-9.88256e-05,0.142486,-0.00509876,0.00142464
0.163265,0.0612245,-0.00023121,0.154502,-0.00792763,0.0030825
0.163265,0.0816327,-0.000422402,0.164808,-0.0108283,0.00531411
0.163265,0.102041,-0.00067318,0.173897,-0.013743,0.00809373
0.163265,0.122449,-0.000983342,0.182224,-0.016632,0.0114026
0.163265,0.142857,-0.00135204,0.190124,-0.0194688,0.015226
0.163265,0.163265,-0.00177799,0.197821,-0.0222359,0.0195507
0.163265,0.183673,-0.00225962,0.205331,-0.0249197,0.0243639
0.163265,0.204082,-0.00279512,0.212921,-0.0275103,0.0296527
0.163265,0.22449,-0.00338249,0.220524,-0.0299994,0.0354031
0.163265,0.244898,-0.00401958,0.228109,-0.0323768,0.0415996
0.163265,0.265306,-0.00470399,0.235734,-0.0346315,0.0482247
0.163265,0.285714,-0.00543311,0.243347,-0.0367516,0.0552585
0.163265,0.306122,-0.00620406,0.250829,-0.0387229,0.062678
0.163265,0.326531,-0.00701364,0.258201,-0.0405291,0.0704567
0.163265,0.346939,-0.00785831,0.265369,-0.0421531,0.0785642
0.163265,0.367347,-0.00873417,0.272295,-0.0435772,0.086966
0.163265,0.387755,-0.00963697,0.278941,-0.0447836,0.0956228
0.163265,0.408163,-0.0105621,0.285318,-0.0457564,0.104491
0.163265,0.428571,-0.0115046,0.291543,-0.0464835,0.113523
0.163265,0.44898,-0.0124594,0.297677,-0.0469587,0.122665
0.163265,0.469388,-0.0134213,0.303692,-0.0471813,0.131863
0.163265,0.489796,-0.0143851,0.309627,-0.0471572,0.141057
0.183673,0,0,0.149745,0,0
0.183673,0.0204082,-3.1184e-05,0.161862,-0.0031665,0.000409426
0.183673,0.0408163,-0.000129245,0.171798,-0.00650977,0.00153879
