x,y,s,v,velU,velV
0,0,0,0,0,0
0,0.00625,0,-0.000304105,0,0
0,0.0125,0,-0.00348823,0,0
0,0.01875,0,-0.0090423,0,0
0,0.025,0,-0.0160095,0,0
0,0.03125,0,-0.023534,0,0
0,0.0375,0,-0.0309413,0,0
0,0.04375,0,-0.0377111,0,0
0,0.05,0,-0.0434396,0,0
0,0.05625,0,-0.0478059,0,0
0,0.0625,0,-0.0505502,0,0
0,0.06875,0,-0.0514562,0,0
0,0.075,0,-0.0503405,0,0
0,0.08125,0,-0.0470439,0,0
0,0.0875,0,-0.0414263,0,0
0,0.09375,0,-0.0333622,0,0
0,0.1,0,-0.0227386,0,0
0,0.10625,0,-0.009452,0,0
0,0.1125,0,0.00659116,0,0
0,0.11875,0,0.0254771,0,0
0,0.125,0,0.0472834,0,0
0,0.13125,0,0.0720806,0,0
0,0.1375,0,0.0999309,0,0
0,0.14375,0,0.130889,0,0
0,0.15,0,0.165001,0,0
0,0.15625,0,0.202305,0,0
0,0.1625,0,0.242828,0,0
0,0.16875,0,0.28659,0,0
0,0.175,0,0.333601,0,0
0,0.18125,0,0.383858,0,0
0,0.1875,0,0.43735,0,0
0,0.19375,0,0.494054,0,0
0,0.2,0,0.553935,0,0
0,0.20625,0,0.616948,0,0
0,0.2125,0,0.683033,0,0
0,0.21875,0,0.752122,0,0
0,0.225,0,0.824131,0,0
0,0.23125,0,0.898968,0,0
0,0.2375,0,0.976525,0,0
0,0.24375,0,1.05668,0,0
0,0.25,0,1.13932,0,0
0.00625,0,0,-0.000304105,0,0
0.00625,0.00625,5.93956e-09,-0.00287556,5.45036e-06,-5.43642e-06
0.00625,0.0125,6.81295e-08,-0.00545,1.36534e-05,-2.4229e-05
0.00625,0.01875,1.76607e-07,-0.00877863,1.95644e-05,-5.34824e-05
0.00625,0.025,3.12685e-07,-0.0127598,2.26433e-05,-8.90331e-05
0.00625,0.03125,4.59648e-07,-0.0170213,2.33309e-05,-0.000126918
0.00625,0.0375,6.04321e-07,-0.0211457,2.21518e-05,-0.000163768
0.00625,0.04375,7.36546e-07,-0.024749,1.95286e-05,-0.000196815
0.00625,0.05,8.48429e-07,-0.0274973,1.57731e-05,-0.000223806
0.00625,0.05625,9.33709e-07,-0.0291076,1.11103e-05,-0.000242889
0.00625,0.0625,9.87308e-07,-0.0293389,5.70352e-06,-0.000252526
0.00625,0.06875,1.005e-06,-0.0279865,-3.27673e-07,-0.000251417
0.00625,0.075,9.83213e-07,-0.0248725,-6.89422e-06,-0.000238448
0.00625,0.08125,9.18825e-07,-0.0198439,-1.39284e-05,-0.000212651
0.00625,0.0875,8.09108e-07,-0.0127642,-2.13776e-05,-0.000173168
0.00625,0.09375,6.51606e-07,-0.00351448,-2.91996e-05,-0.000119239
0.00625,0.1,4.44112e-07,0.00801384,-3.73597e-05,-5.01756e-05
0.00625,0.10625,1.84609e-07,0.0219154,-4.58277e-05,3.46409e-05
0.00625,0.1125,-1.28734e-07,0.0382778,-5.45767e-05,0.000135774
0.00625,0.11875,-4.976e-07,0.0571767,-6.35816e-05,0.00025373
0.00625,0.125,-9.23503e-07,0.0786825,-7.2818e-05,0.00038897
0.00625,0.13125,-1.40782e-06,0.102854,-8.22617e-05,0.000541901
0.00625,0.1375,-1.95178e-06,0.129746,-9.18882e-05,0.000712885
0.00625,0.14375,-2.55643e-06,0.159401,-0.000101672,0.00090223
0.00625,0.15,-3.22268e-06,0.191858,-0.000111587,0.0011102
0.00625,0.15625,-3.95126e-06,0.227144,-0.000121605,0.001337
0.00625,0.1625,-4.74273e-06,0.26528,-0.000131697,0.00158277
0.00625,0.16875,-5.59747e-06,0.306276,-0.000141833,0.00184763
0.00625,0.175,-6.51564e-06,0.350137,-0.000151981,0.00213161
0.00625,0.18125,-7.49723e-06,0.396854,-0.000162108,0.00243467
0.00625,0.1875,-8.54199e-06,0.446414,-0.000172181,0.00275674
0.00625,0.19375,-9.6495e-06,0.498789,-0.000182164,0.00309767
0.00625,0.2,-1.0819e-05,0.553947,-0.000192021,0.00345724
0.00625,0.20625,-1.20498e-05,0.611841,-0.000201715,0.00383516
0.00625,0.2125,-1.33405e-05,0.672419,-0.00021121,0.00423109
0.00625,0.21875,-1.46899e-05,0.735613,-0.000220466,0.00464461
0.00625,0.225,-1.60963e-05,0.801352,-0.000229447,0.00507522
0.00625,0.23125,-1.7558e-05,0.869547,-0.000238115,0.00552236
0.00625,0.2375,-1.90728e-05,0.940109,-0.000246432,0.00598541
0.00625,0.24375,-2.06384e-05,1.01293,-0.000254361,0.00646368
0.00625,0.25,-2.22523e-05,1.0879,-0.000261866,0.0069564
0.0125,0,0,-0.00347931,0,0
0.0125,0.00625,6.79553e-08,-0.00544393,2.4229e-05,-1.35787e-05
0.0125,0.0125,3.02862e-07,-0.00665765,4.8046e-05,-4.79014e-05
0.0125,0.01875,6.6853e-07,-0.00786161,6.48041e-05,-9.69781e-05
0.0125,0.025,1.11291e-06,-0.00922917,7.3436e-05,-0.000154543
0.0125,0.03125,1.58648e-06,-0.0106434,7.47346e-05,-0.00021459
0.0125,0.0375,2.0471e-06,-0.0118697,6.98969e-05,-0.000271738
0.0125,0.04375,2.46019e-06,-0.0126392,6.00383e-05,-0.000321338
0.0125,0.05,2.79758e-06,-0.0126917,4.60739e-05,-0.000359432
0.0125,0.05625,3.03612e-06,-0.0117866,2.87197e-05,-0.000382665
0.0125,0.0625,3.15657e-06,-0.00971214,8.5277e-06,-0.000388178
0.0125,0.06875,3.14271e-06,-0.0062787,-1.40774e-05,-0.000373514
0.0125,0.075,2.9806e-06,-0.00132298,-3.87662e-05,-0.000336546
0.0125,0.08125,2.65814e-06,0.00530188,-6.528e-05,-0.000275406
0.0125,0.0875,2.1646e-06,0.0137215,-9.34119e-05,-0.000188447
0.0125,0.09375,1.49049e-06,0.0240509,-0.000122993,-7.41959e-05
0.0125,0.1,6.27195e-07,0.0363873,-0.00015388,6.86637e-05
0.0125,0.10625,-4.33011e-07,0.0508213,-0.000185949,0.000241319
0.0125,0.1125,-1.69717e-06,0.0674282,-0.000219089,0.000444839
0.0125,0.11875,-3.17163e-06,0.0862792,-0.000253196,0.000680183
0.0125,0.125,-4.86213e-06,0.107431,-0.000288171,0.00094821
0.0125,0.13125,-6.77376e-06,0.130938,-0.000323915,0.00124968
0.0125,0.1375,-8.91106e-06,0.15684,-0.000360329,0.00158525
0.0125,0.14375,-1.12779e-05,0.185177,-0.000397314,0.00195549
0.0125,0.15,-1.38775e-05,0.215972,-0.000434765,0.00236085
0.0125,0.15625,-1.67124e-05,0.24925,-0.000472577,0.00280171
0.0125,0.1625,-1.97847e-05,0.285019,-0.000510637,0.00327832
0.0125,0.16875,-2.30954e-05,0.323288,-0.000548831,0.00379083
0.0125,0.175,-2.66451e-05,0.364049,-0.000587039,0.00433927
0.0125,0.18125,-3.04334e-05,0.407297,-0.000625138,0.00492358
0.0125,0.1875,-3.44593e-05,0.453008,-0.000663001,0.00554356
0.0125,0.19375,-3.87209e-05,0.501159,-0.000700497,0.0061989
0.0125,0.2,-4.32155e-05,0.551711,-0.000737493,0.00688917
0.0125,0.20625,-4.79396e-05,0.604625,-0.000773854,0.00761381
0.0125,0.2125,-5.28887e-05,0.659846,-0.000809443,0.00837215
0.0125,0.21875,-5.80576e-05,0.71732,-0.000844122,0.00916336
0.0125,0.225,-6.34402e-05,0.776974,-0.000877753,0.00998653
0.0125,0.23125,-6.90295e-05,0.838739,-0.000910198,0.0108406
0.0125,0.2375,-7.48177e-05,0.902527,-0.000941322,0.0117244
0.0125,0.24375,-8.0796e-05,0.968252,-0.000970989,0.0126366
0.0125,0.25,-8.69551e-05,1.03581,-0.00099907,0.0135757
0.01875,0,0,-0.00899447,0,0
0.01875,0.00625,1.75673e-07,-0.00876351,5.33518e-05,-1.93768e-05
0.01875,0.0125,6.66897e-07,-0.0078747,9.70528e-05,-6.4397e-05
0.01875,0.01875,1.38883e-06,-0.00678103,0.000126206,-0.000125743
0.01875,0.025,2.24447e-06,-0.00564995,0.000140255,-0.000195353
0.01875,0.03125,3.14203e-06,-0.0044525,0.000140526,-0.000265883
0.01875,0.0375,4.00105e-06,-0.00304725,0.000128899,-0.0003307
0.01875,0.04375,4.75327e-06,-0.00124537,0.000107222,-0.000383916
0.01875,0.05,5.34133e-06,0.00115896,7.71004e-05,-0.000420369
0.01875,0.05625,5.71702e-06,0.00436325,3.98559e-05,-0.000435565
0.01875,0.0625,5.83953e-06,0.00855506,-3.44735e-06,-0.000425588
0.01875,0.06875,5.67393e-06,0.0139004,-5.19597e-05,-0.00038702
0.01875,0.075,5.19004e-06,0.0205524,-0.000105002,-0.000316862
0.01875,0.08125,4.3614e-06,0.0286418,-0.000162028,-0.000212464
0.01875,0.0875,3.16469e-06,0.0382896,-0.000222588,-7.14729e-05
0.01875,0.09375,1.57905e-06,0.0495967,-0.00028631,0.000108211
0.01875,0.1,-4.14183e-07,0.0626575,-0.000352875,0.000328468
0.01875,0.10625,-2.83188e-06,0.0775482,-0.000422003,0.000590987
0.01875,0.1125,-5.68922e-06,0.0943419,-0.000493441,0.000897279
0.01875,0.11875,-8.99989e-06,0.113094,-0.000566953,0.0012487
0.01875,0.125,-1.27761e-05,0.13386,-0.000642313,0.00164644
0.01875,0.13125,-1.70288e-05,0.156678,-0.000719301,0.00209155
0.01875,0.1375,-2.17674e-05,0.181588,-0.000797696,0.00258495
0.01875,0.14375,-2.7e-05,0.208611,-0.000877276,0.00312739
0.01875,0.15,-3.27333e-05,0.237772,-0.000957812,0.00371949
0.01875,0.15625,-3.89727e-05,0.269078,-0.00103907,0.00436172
0.01875,0.1625,-4.57217e-05,0.302542,-0.00112081,0.00505441
0.01875,0.16875,-5.29828e-05,0.338156,-0.00120278,0.00579771
0.01875,0.175,-6.07565e-05,0.375918,-0.00128474,0.00659164
0.01875,0.18125,-6.9042e-05,0.415806,-0.0013664,0.00743604
0.01875,0.1875,-7.78365e-05,0.457807,-0.0014475,0.00833062
0.01875,0.19375,-8.71358e-05,0.501885,-0.00152778,0.00927488
0.01875,0.2,-9.69337e-05,0.548013,-0.00160693,0.0102682
0.01875,0.20625,-0.000107222,0.596142,-0.00168469,0.0113097
0.01875,0.2125,-0.000117992,0.646233,-0.00176076,0.0123985
0.01875,0.21875,-0.000129232,0.698223,-0.00183485,0.0135333
