Np,Wall-time
30,8.70791
x,y,s,v,velU,velV
0,0,0,0,0,0
0,0.0204082,0,-0.00630054,0,0
0,0.0408163,0,-0.0119511,0,0
0,0.0612245,0,-0.0105519,0,0
0,0.0816327,0,0.000385481,0,0
0,0.102041,0,0.0215548,0,0
0,0.122449,0,0.0529055,0,0
0,0.142857,0,0.094099,0,0
0,0.163265,0,0.1447,0,0
0,0.183673,0,0.20424,0,0
0.0204082,0,0,-0.00630054,0,0
0.0204082,0.0204082,1.31207e-06,0.000705025,6.0975e-05,-6.04118e-05
0.0204082,0.0408163,2.48878e-06,0.00777141,2.16906e-05,-7.86204e-05
0.0204082,0.0612245,2.1974e-06,0.0180647,-6.29417e-05,2.80009e-05
0.0204082,0.0816327,-8.02752e-08,0.0338718,-0.000163809,0.000297357
0.0204082,0.102041,-4.4887e-06,0.0564299,-0.000267959,0.000743822
0.0204082,0.122449,-1.10174e-05,0.0862694,-0.000370124,0.00136993
0.0204082,0.142857,-1.95958e-05,0.123509,-0.000468338,0.0021725
0.0204082,0.163265,-3.01332e-05,0.16804,-0.000561946,0.00314561
0.0204082,0.183673,-4.25324e-05,0.219629,-0.000650736,0.00428202
0.0408163,0,0,-0.0118407,0,0
0.0408163,0.0204082,2.46579e-06,0.0076497,7.86204e-05,-2.06798e-05
0.0408163,0.0408163,3.209e-06,0.0242665,-8.84127e-05,8.75009e-05
0.0408163,0.0612245,-1.14289e-06,0.0411649,-0.000375977,0.000420984
0.0408163,0.0816327,-1.2137e-05,0.0606087,-0.000715821,0.00103214
0.0408163,0.102041,-3.03601e-05,0.0840465,-0.00107257,0.00194566
0.0408163,0.122449,-5.59155e-05,0.112305,-0.00142868,0.00316952
0.0408163,0.142857,-8.86735e-05,0.145784,-0.00177568,0.00470185
0.0408163,0.163265,-0.000128392,0.18461,-0.00210952,0.00653519
0.0408163,0.183673,-0.000174776,0.228734,-0.00242809,0.0086587
0.0612245,0,0,-0.0103538,0,0
0.0612245,0.0204082,2.15614e-06,0.0174686,-2.65259e-05,6.12512e-05
0.0612245,0.0408163,-1.08269e-06,0.0404799,-0.000419973,0.000362077
0.0612245,0.0612245,-1.49856e-05,0.0617184,-0.00100758,0.000981748
0.0612245,0.0816327,-4.22083e-05,0.0833608,-0.00168849,0.00196953
0.0612245,0.102041,-8.39035e-05,0.10689,-0.00240534,0.00335208
0.0612245,0.122449,-0.000140386,0.133249,-0.00312631,0.00514001
0.0612245,0.142857,-0.000211508,0.162987,-0.00383401,0.00733305
0.0612245,0.163265,-0.000296876,0.196375,-0.0045188,0.00992371
0.0612245,0.183673,-0.000395949,0.233494,-0.00517497,0.0128997
0.0816327,0,0,0.000164518,0,0
0.0816327,0.0204082,-3.42604e-08,0.0321012,-0.000283457,0.000153112
0.0816327,0.0408163,-1.15697e-05,0.0584678,-0.00100891,0.000666805
0.0816327,0.0612245,-4.12142e-05,0.0818691,-0.00198343,0.00158975
0.0816327,0.0816327,-9.25258e-05,0.104242,-0.00308615,0.00295738
0.0816327,0.102041,-0.00016718,0.126968,-0.00424306,0.00479109
0.0816327,0.122449,-0.000265712,0.150986,-0.00540965,0.00710011
0.0816327,0.142857,-0.000387982,0.176892,-0.00655938,0.00988405
0.0816327,0.163265,-0.000533442,0.205027,-0.00767614,0.0131353
0.0816327,0.183673,-0.000701294,0.235557,-0.00874954,0.0168407
0.102041,0,0,0.0196561,0,0
0.102041,0.0204082,-4.09332e-06,0.0523029,-0.000693331,0.000239842
0.102041,0.0408163,-2.82992e-05,0.0794149,-0.00185661,0.000959575
0.102041,0.0612245,-7.98734e-05,0.103039,-0.00329815,0.00217471
0.102041,0.0816327,-0.000162918,0.124774,-0.00488983,0.00390173
0.102041,0.102041,-0.000279458,0.145815,-0.00654807,0.00615198
0.102041,0.122449,-0.000430186,0.167011,-0.00821927,0.00892979
0.102041,0.142857,-0.000614939,0.188936,-0.00986917,0.0122325
0.102041,0.163265,-0.000833009,0.21195,-0.0114755,0.0160515
0.102041,0.183673,-0.00108333,0.236255,-0.0130228,0.020373
0.122449,0,0,0.0471736,0,0
0.122449,0.0204082,-9.82375e-06,0.0780214,-0.00124303,0.000315258
0.122449,0.0408163,-5.0736e-05,0.103814,-0.00294378,0.00121966
0.122449,0.0612245,-0.000129978,0.126049,-0.00492558,0.0026986
0.122449,0.0816327,-0.00025178,0.145963,-0.00706343,0.00474857
0.122449,0.102041,-0.000418281,0.164519,-0.00927112,0.0073685
0.122449,0.122449,-0.000630193,0.182435,-0.0114902,0.0105554
0.122449,0.142857,-0.000887269,0.200216,-0.0136811,0.0143028
0.122449,0.163265,-0.00118861,0.218201,-0.0158166,0.0185998
0.122449,0.183673,-0.00153284,0.236598,-0.0178767,0.0234315
0.142857,0,0,0.0814466,0,0
0.142857,0.0204082,-1.6961e-05,0.108742,-0.00191299,0.000377441
0.142857,0.0408163,-7.80811e-05,0.131672,-0.00423996,0.00143843
0.142857,0.0612245,-0.00019002,0.151255,-0.00682707,0.00314347
0.142857,0.0816327,-0.000356737,0.168381,-0.00955972,0.00547044
0.142857,0.102041,-0.000580213,0.183778,-0.0123549,0.00840538
0.142857,0.122449,-0.00086102,0.198012,-0.0151536,0.011937
0.142857,0.142857,-0.00119873,0.211498,-0.0179135,0.0160536
0.142857,0.163265,-0.00159218,0.224527,-0.0206042,0.0207416
0.142857,0.183673,-0.00203971,0.237289,-0.0232023,0.0259847
0.163265,0,0,0.121152,0,0
0.163265,0.0204082,-2.52295e-05,0.14372,-0.00268146,0.000426468
0.163265,0.0408163,-0.000109448,0.162685,-0.0057098,0.00161389
0.163265,0.0612245,-0.000258283,0.178668,-0.00895759,0.00350333
0.163265,0.0816327,-0.000475063,0.192257,-0.0123253,0.00605671
0.163265,0.102041,-0.000761358,0.203958,-0.0157377,0.00924801
0.163265,0.122449,-0.00111742,0.214183,-0.0191385,0.0130575
0.163265,0.142857,-0.00154252,0.223249,-0.0224858,0.0174681
0.163265,0.163265,-0.0020352,0.231385,-0.0257476,0.022463
0.163265,0.183673,-0.00259344,0.23875,-0.0288984,0.0280241
0.183673,0,0,0.165034,0,0
0.183673,0.0204082,-3.43678e-05,0.182117,-0.00352687,0.000463271
0.183673,0.0408163,-0.000143954,0.19636,-0.00731682,0.0017474
0.183673,0.0612245,-0.000333014,0.208063,-0.0112699,0.00377895
0.183673,0.0816327,-0.000603949,0.217556,-0.0153044,0.00650684
0.183673,0.102041,-0.000957683,0.225153,-0.0193558,0.00989462
0.183673,0.122449,-0.00139398,0.231122,-0.0233737,0.0139149
0.183673,0.142857,-0.00191171,0.23568,-0.027319,0.0185452
0.183673,0.163265,-0.00250904,0.238988,-0.0311602,0.0237656
0.183673,0.183673,-0.00318356,0.241164,-0.034871,0.0295567
0.204082,0,0,0.211953,0,0
0.204082,0.0204082,-4.41385e-05,0.223085,-0.00442886,0.000489071
0.204082,0.0408163,-0.00018077,0.232103,-0.00902548,0.00184182
0.204082,0.0612245,-0.000412525,0.239054,-0.013717,0.0039744
0.204082,0.0816327,-0.000740649,0.244057,-0.018441,0.00682565
0.204082,0.102041,-0.00116522,0.247257,-0.0231457,0.0103506
0.204082,0.122449,-0.00168537,0.248795,-0.027789,0.0145153
0.204082,0.142857,-0.00229947,0.248793,-0.0323365,0.0192927
0.204082,0.163265,-0.00300523,0.247345,-0.0367591,0.0246604
0.204082,0.183673,-0.00379984,0.244521,-0.0410312,0.0305977
0.22449,0,0,0.260892,0,0
0.22449,0.0204082,-5.43299e-05,0.265798,-0.0053687,0.000505063
0.22449,0.0408163,-0.000219131,0.269271,-0.0108022,0.00190042
0.22449,0.0612245,-0.000495234,0.271157,-0.0162537,0.00409499
0.22449,0.0816327,-0.000882547,0.271402,-0.0216806,0.00702023
0.22449,0.102041,-0.00138016,0.270011,-0.0270454,0.0106246
0.22449,0.122449,-0.00198644,0.267011,-0.0323158,0.014869
0.22449,0.142857,-0.00269917,0.262437,-0.0374641,0.0197232
0.22449,0.163265,-0.00351559,0.256317,-0.0424651,0.0251624
0.22449,0.183673,-0.00443244,0.248671,-0.047295,0.0311657
0.244898,0,0,0.310946,0,0
0.244898,0.0204082,-6.47533e-05,0.309474,-0.00632929,0.000512282
0.244898,0.0408163,-0.000258338,0.307209,-0.0126154,0.0019262
0.244898,0.0612245,-0.000579668,0.303834,-0.0188368,0.00414595
0.244898,0.0816327,-0.00102719,0.299157,-0.0249706,0.00709789
0.244898,0.102041,-0.00159888,0.29306,-0.0309945,0.0107259
0.244898,0.122449,-0.00229227,0.285474,-0.0368876,0.0149874
0.244898,0.142857,-0.00310449,0.276355,-0.0426299,0.0198497
0.244898,0.163265,-0.00403227,0.265664,-0.0482017,0.0252873
0.244898,0.183673,-0.00507191,0.25337,-0.0535824,0.0312794
0.265306,0,0,0.3613,0,0
0.265306,0.0204082,-7.52394e-05,0.353376,-0.0072949,0.000511518
0.265306,0.0408163,-0.000297751,0.345266,-0.0144358,0.00192161
0.265306,0.0612245,-0.000664457,0.336524,-0.0214254,0.00413172
0.265306,0.0816327,-0.00117226,0.326838,-0.0282606,0.00706514
0.265306,0.102041,-0.00181795,0.315991,-0.0349349,0.010663
0.265306,0.122449,-0.00259817,0.303827,-0.0414396,0.0148807
0.265306,0.142857,-0.00350936,0.290228,-0.047764,0.0196845
0.265306,0.163265,-0.00454772,0.275094,-0.0538948,0.0250493
0.265306,0.183673,-0.00570915,0.258336,-0.0598157,0.0309553
0.285714,0,0,0.411203,0,0
0.285714,0.0204082,-8.56316e-05,0.396805,-0.0082509,0.000503314
0.285714,0.0408163,-0.000336771,0.38281,-0.0162356,0.00188844
0.285714,0.0612245,-0.00074831,0.368661,-0.0239804,0.0040557
0.285714,0.0816327,-0.00131556,0.35395,-0.0315019,0.00692706
0.285714,0.102041,-0.0020341,0.338371,-0.03881,0.0104426
0.285714,0.122449,-0.00289964,0.32169,-0.0459091,0.0145572
0.285714,0.142857,-0.00390794,0.30372,-0.0527985,0.0192377
0.285714,0.163265,-0.00505469,0.2843,-0.0594725,0.0244601
0.285714,0.183673,-0.00633539,0.263283,-0.0659198,0.030207
0.306122,0,0,0.459949,0,0
0.306122,0.0204082,-9.57828e-05,0.439094,-0.00918333,0.000487986
0.306122,0.0408163,-0.00037483,0.419227,-0.0179882,0.00182782
0.306122,0.0612245,-0.000829996,0.399695,-0.026464,0.00392019
0.306122,0.0816327,-0.00145499,0.380004,-0.0346475,0.00668732
0.306122,0.102041,-0.00224418,0.359771,-0.0425651,0.0100698
0.306122,0.122449,-0.00319234,0.338691,-0.0502348,0.0140237
0.306122,0.142857,-0.00429458,0.316509,-0.0576669,0.0185173
0.306122,0.163265,-0.00554609,0.293,-0.064864,0.0235292
0.306122,0.183673,-0.00694209,0.267958,-0.0718211,0.0290451
0.326531,0,0,0.506848,0,0
0.326531,0.0204082,-0.000105549,0.479601,-0.0100787,0.000465665
0.326531,0.0408163,-0.000411376,0.45393,-0.0196678,0.00174039
0.326531,0.0612245,-0.000908318,0.429099,-0.0288399,0.00372663
0.326531,0.0816327,-0.00158851,0.404538,-0.0376515,0.00634842
0.326531,0.102041,-0.00244511,0.379792,-0.0461464,0.0095484
0.326531,0.122449,-0.00347204,0.354489,-0.0543566,0.013285
0.326531,0.142857,-0.00466375,0.328308,-0.062304,0.0175295
0.326531,0.163265,-0.00601506,0.300959,-0.0700003,0.0222641
0.326531,0.183673,-0.00752091,0.272169,-0.077447,0.0274788
0.346939,0,0,0.551219,0,0
0.346939,0.0204082,-0.00011479,0.517698,-0.0109237,0.000436362
0.346939,0.0408163,-0.000445866,0.486354,-0.0212492,0.00162641
0.346939,0.0612245,-0.000982103,0.456376,-0.0310721,0.00347588
0.346939,0.0816327,-0.00171411,0.427123,-0.0404692,0.00591213
0.346939,0.102041,-0.00263391,0.398075,-0.0495016,0.00888126
0.346939,0.122449,-0.00373459,0.368793,-0.0582159,0.0123454
0.346939,0.142857,-0.00501007,0.33889,-0.066646,0.0162801
0.346939,0.163265,-0.00645483,0.308005,-0.0748133,0.020672
0.346939,0.183673,-0.00806367,0.275794,-0.0827265,0.0255163
0.367347,0,0,0.592375,0,0
0.367347,0.0204082,-0.00012336,0.552774,-0.0117051,0.00040003
